"","V1","V2","V3","V4","score","label","id"
"400",2.9695,5.6222,0.27561,-1.1556,0,"TEST","P_400"
"754",3.1541,-5.1711,6.5991,0.57455,0,"TEST","P_754"
"253",0.5734,9.1938,-0.9094,-1.872,0,"TEST","P_253"
"24",0.93584,8.8855,-1.6831,-1.6599,0,"TEST","P_24"
"632",1.8994,0.97462,4.2265,0.81377,0,"TEST","P_632"
"22",0.3292,-4.4552,4.5718,-0.9888,0,"TEST","P_22"
"317",5.7353,5.2808,-2.2598,0.075416,0,"TEST","P_317"
"563",-2.4604,12.7302,0.91738,-7.6418,0,"TEST","P_563"
"336",3.4667,-4.0724,4.2882,1.5418,0,"TEST","P_336"
"512",3.9433,2.5017,1.5215,0.903,0,"TEST","P_512"
"529",3.6244,1.4609,1.3501,1.9284,0,"TEST","P_529"
"211",4.2899,9.1814,-4.6067,-4.3263,0,"TEST","P_211"
"479",-1.7781,0.8546,7.1303,0.027572,0,"TEST","P_479"
"377",3.2303,7.8384,-3.5348,-1.2151,0,"TEST","P_377"
