"","V1","V2","V3","V4","score","label","id"
"351",-1.2528,10.2036,2.1787,-5.6038,0,"TRAIN","P_351"
"479",-1.7781,0.8546,7.1303,0.027572,0,"TRAIN","P_479"
"15",3.404,8.7261,-2.9915,-0.57242,0,"TRAIN","P_15"
"365",5.7823,5.5788,-2.4089,-0.056479,0,"TRAIN","P_365"
"171",0.5706,-0.0248,1.2421,-0.5621,0,"TRAIN","P_171"
"896",-0.63298,-5.1277,4.5624,1.4797,1,"TEST","P_896"
"793",-2.7338,0.45523,2.4391,0.21766,1,"TEST","P_793"
"1041",1.7875,4.78,-5.1362,-3.2362,1,"TEST","P_1041"
"991",-4.577,3.4515,0.66719,-0.94742,1,"TEST","P_991"
"849",-2.9098,-10.0712,8.4156,-1.9948,1,"TEST","P_849"
"802",-0.91318,-2.0113,-0.19565,0.066365,1,"TEST","P_802"
"869",-4.4996,3.4288,0.56265,-1.1672,1,"TEST","P_869"
"1315",-3.506,-12.5667,15.1606,-0.75216,1,"TEST","P_1315"
"1321",-0.72068,-6.7583,5.8408,0.62369,1,"TEST","P_1321"
"1038",-1.7976,-6.7686,6.6753,0.89912,1,"TEST","P_1038"
"1329",-1.3968,-9.6698,9.4652,-0.34872,1,"TEST","P_1329"
"1312",-1.1188,3.3357,-1.3455,-1.9573,1,"TEST","P_1312"
"1367",-2.41,3.7433,-0.40215,-1.2953,1,"TEST","P_1367"
"989",-3.6817,3.2239,-0.69347,-3.4004,1,"TEST","P_989"
"1146",-2.3221,-9.3304,9.233,-0.79871,1,"TEST","P_1146"
"1318",-1.2667,2.8183,-2.426,-1.8862,1,"TEST","P_1318"
"872",-0.75793,2.5349,-3.0464,-1.2629,1,"TEST","P_872"
"1070",-1.4454,-8.4385,8.8483,0.96894,1,"TEST","P_1070"
"944",-3.1273,-7.1121,11.3897,-0.083634,1,"TEST","P_944"
"1277",-0.89809,-4.4862,2.2009,0.50731,1,"TEST","P_1277"
"60",-0.78289,11.3603,-0.37644,-7.0495,0,"TEST","P_60"
"169",-1.803,11.8818,2.0458,-5.2728,0,"TEST","P_169"
"269",0.9297,-3.7971,4.6429,-0.2957,0,"TEST","P_269"
"750",0.88298,0.66009,6.0096,-0.43277,0,"TEST","P_750"
"463",4.9362,7.6046,-2.3429,-0.85302,0,"TEST","P_463"
"110",2.9163,10.8306,-3.3437,-4.122,0,"TEST","P_110"
"542",3.6667,4.302,0.55923,0.33791,0,"TEST","P_542"
"425",1.9429,6.3961,0.092248,0.58102,0,"TEST","P_425"
"439",4.0524,5.6802,-1.9693,0.026279,0,"TEST","P_439"
"7",3.5912,3.0129,0.72888,0.56421,0,"TEST","P_7"
"353",0.3292,-4.4552,4.5718,-0.9888,0,"TEST","P_353"
"524",2.1319,-2.0403,2.5574,-0.061652,0,"TEST","P_524"
"406",0.58982,7.4266,1.2353,-2.9595,0,"TEST","P_406"
"529",3.6244,1.4609,1.3501,1.9284,0,"TEST","P_529"
"587",1.5456,8.5482,0.4187,-2.1784,0,"TEST","P_587"
"208",2.5605,9.2683,-3.5913,-1.356,0,"TEST","P_208"
"89",4.1197,-2.7956,2.0707,0.67412,0,"TEST","P_89"
"355",3.5458,9.3718,-4.0351,-3.9564,0,"TEST","P_355"
"183",-0.69572,8.6165,1.8419,-4.3289,0,"TEST","P_183"
"470",0.1848,6.5079,2.0133,-0.87242,0,"TEST","P_470"
